FBgn0261614 CG42703
FBgn0038156 CG14372
FBgn0262906 msa
FBgn0044511 mRpS21
FBgn0030729 CG12507
FBgn0003429 slo
FBgn0053919 CG33919
FBgn0034641 mahj
FBgn0000394 cv
FBgn0034974 CG16786
FBgn0039528 dsd
FBgn0013809 Dhc16F
FBgn0003392 shi
FBgn0053493 CG33493
FBgn0035868 CG7194
FBgn0261536 CG42660
FBgn0020556 bxd
FBgn0261537 CG42661
FBgn0261538 CG42662
FBgn0259236 comm3
FBgn0259240 Ten-a
FBgn0011211 blw
FBgn0044452 Atg2
FBgn0004047 Yp3
FBgn0039215 CG6695
FBgn0032620 CG12288
FBgn0261382 Bc
FBgn0259246 brp
FBgn0030993 Mec2
FBgn0038087 beat-Va
FBgn0000463 Dl
FBgn0044872 FucTC
FBgn0051515 CG31515
FBgn0037428 Osi18
FBgn0012016 tRNA:Y1:22Fa
FBgn0020496 CtBP
FBgn0261394 Pros29
FBgn0083991 CG34155
FBgn0085434 NaCP60E
FBgn0050080 CG30080
FBgn0261706 CR42742
FBgn0035533 Cip4
FBgn0031100 CG1504
FBgn0261670 CG42725
FBgn0040356 CG12498
FBgn0243512 puc
FBgn0034972 CG10339
FBgn0261262 CG42613
FBgn0000535 eag
FBgn0037584 CG7963
FBgn0086706 pix
FBgn0250815 Jon65Aiv
FBgn0039108 CG10232
FBgn0051954 CG31954
FBgn0261566 CG42680
FBgn0039018 CG4771
FBgn0039128 CG13599
FBgn0029846 Ca-alpha1T
FBgn0087012 5-HT2
FBgn0262013 dop
FBgn0261515 CG10485
FBgn0035338 CG13800
FBgn0083988 snoRNA:Me28S-C3420a
FBgn0261545 CG42663
FBgn0260486 CG42533
FBgn0026873 MED18
FBgn0002564 Lsp1gamma
FBgn0054031 CR34031
FBgn0053558 mim
FBgn0050082 CG30082
FBgn0260806 EP3-934
FBgn0262587 CG43124
FBgn0261061 Sfp96F
FBgn0261516 Sdic
FBgn0083989 snoRNA:Me28S-C3420b
FBgn0261517 mkp
FBgn0037279 CG1129
FBgn0261631 CG42714
FBgn0260740 Grip98
FBgn0261363 CG42640
FBgn0036949 CG7290
FBgn0261518 l(2)k08617
FBgn0250822 CG34222
FBgn0002629 m4
FBgn0028707 Mt2
FBgn0250817 CR40465
FBgn0250821 CG14644
FBgn0016726 RpL29
FBgn0010415 Sdc
FBgn0262976 lawc
FBgn0004567 slp2
FBgn0261519 did
FBgn0031519 CG3326
FBgn0032839 CG10659
FBgn0037718 P58IPK
FBgn0037245 growl
FBgn0259648 B1022
FBgn0010355 Taf1
FBgn0262408 mir-5
