FBtr0086024	FBgn0033056
FBtr0082362	FBgn0037888
FBtr0300409	FBgn0034742
FBtr0308603	FBgn0034742
FBtr0080982	FBgn0032640
FBtr0305683	FBgn0032640
FBtr0299694	FBgn0259204
FBtr0299695	FBgn0259204
FBtr0085737	FBgn0039821
FBtr0309194	FBgn0039821
FBtr0309195	FBgn0039821
FBtr0084219	FBgn0038957
FBtr0084220	FBgn0038957
FBtr0084221	FBgn0038957
FBtr0081953	FBgn0037609
FBtr0084736	FBgn0051118
FBtr0074206	FBgn0030723
FBtr0306736	FBgn0262974
FBtr0088758	FBgn0002571
FBtr0307491	FBgn0030289
FBtr0290227	FBgn0030289
FBtr0073542	FBgn0003277
FBtr0071194	FBgn0030000
FBtr0080216	FBgn0014076
FBtr0300299	FBgn0031564
FBtr0087666	FBgn0086757
FBtr0071779	FBgn0050277
FBtr0300060	FBgn0051266
FBtr0078242	FBgn0036973
FBtr0072048	FBgn0034838
FBtr0091935	FBgn0066304
FBtr0112387	FBgn0085223
FBtr0078185	FBgn0036980
FBtr0084915	FBgn0011669
FBtr0083062	FBgn0014879
FBtr0083505	FBgn0038515
FBtr0091464	FBgn0053519
FBtr0113464	FBgn0053519
FBtr0085966	FBgn0033047
FBtr0083453	FBgn0038498
FBtr0112505	FBgn0259831
FBtr0080099	FBgn0051872
FBtr0080416	FBgn0040506
FBtr0079287	FBgn0051637
FBtr0112635	FBgn0085421
FBtr0112636	FBgn0085421
FBtr0307508	FBgn0028899
FBtr0071110	FBgn0029997
FBtr0071111	FBgn0029997
FBtr0071109	FBgn0029997
FBtr0070204	FBgn0040357
FBtr0074184	FBgn0052581
FBtr0113439	FBgn0052581
FBtr0089759	FBgn0050011
FBtr0089758	FBgn0050011
FBtr0300943	FBgn0050011
FBtr0072450	FBgn0050429
FBtr0086236	FBgn0034543
FBtr0113071	FBgn0033661
FBtr0113072	FBgn0033661
FBtr0082460	FBgn0037915
FBtr0305057	FBgn0259222
FBtr0305058	FBgn0259222
FBtr0299766	FBgn0259222
FBtr0299767	FBgn0259222
FBtr0299768	FBgn0259222
FBtr0299769	FBgn0259222
FBtr0299770	FBgn0259222
FBtr0299771	FBgn0259222
FBtr0299772	FBgn0259222
FBtr0073016	FBgn0035371
FBtr0079701	FBgn0032049
FBtr0073256	FBgn0028664
FBtr0072819	FBgn0013342
FBtr0072815	FBgn0013342
FBtr0300893	FBgn0013342
FBtr0300894	FBgn0013342
FBtr0302310	FBgn0013342
FBtr0306578	FBgn0013342
FBtr0085482	FBgn0019972
FBtr0089105	FBgn0039909
FBtr0085552	FBgn0016685
FBtr0074333	FBgn0030792
FBtr0081639	FBgn0003884
FBtr0070559	FBgn0028369
FBtr0070560	FBgn0028369
FBtr0304641	FBgn0262360
FBtr0300707	FBgn0040375
FBtr0308567	FBgn0040375
FBtr0088420	FBgn0003071
FBtr0088421	FBgn0003071
FBtr0088422	FBgn0003071
FBtr0304925	FBgn0003071
FBtr0088716	FBgn0086784
FBtr0088715	FBgn0086784
FBtr0301639	FBgn0086784
FBtr0073248	FBgn0001257
FBtr0073249	FBgn0001257
FBtr0073250	FBgn0001257
FBtr0084900	FBgn0039356
FBtr0100835	FBgn0054057
FBtr0100834	FBgn0054057
FBtr0082825	FBgn0038179
FBtr0082760	FBgn0038149
FBtr0081424	FBgn0051676
FBtr0080245	FBgn0032366
FBtr0072484	FBgn0035109
FBtr0081137	FBgn0051792
FBtr0083371	FBgn0038465
